party,iso3,unfccc_yr,unfccc_net,unfccc_gross,primap_yr,primap_net,primap_gross,peak_yr_net,peak_ghg_net,peak_yr_gross,peak_ghg_gross,nz_yr,ndc30_low,ndc30_high,ndc30_lulucf,ndc35_low,ndc35_high,ndc35_lulucf,s2z_aligned_label,s2z_pk_low,s2z_pk_high,s2z_ndc30_low,s2z_ndc30_high,s2z_latest,c1_ghg_p5,c1_ghg_p95,c2_ghg_p5,c2_ghg_p95,c3_ghg_p5,c3_ghg_p95,c4_ghg_p5,c4_ghg_p95,c5_ghg_p5,c5_ghg_p95,c6_ghg_p5,c6_ghg_p95,c7_ghg_p5,c7_ghg_p95,nz_min,nz_max,b2c_min,b2c_max,fw_min,fw_max,cp_min,cp_max
Tuvalu,TUV,,,258.9,2024,19.958093,19.958093,,,,,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Türkiye,TUR,2023,482955.6182,552191.0805,2024,521267.19,579079.58,,,,,2053,695000,695000,Yes,643000,643000,Yes,No,,,543913.0434782564,543913.0434782564,322846.4686414154,193639.0664354546,473586.9140625,261467.0715332031,420044.189453125,284499.7406005859,550807.9223632813,324118.5913085937,576375.48828125,400754.4555664063,635755.7067871094,456896.0876464844,683759.3688964844,514008.4145363332,770188.6596679688,180125.8,360751.1,138601.9,492869.6,532438.5,622123.7999999999,427724.3,628846
Uganda,UGA,2000,38053.78,27559.78,2024,60994.284,55653.6,,,,,,105435.6624,140020.8,Yes,,,,,,,,,,,,,,,,,,,,,,,,101222.1,123964.8,77939.3,108999.3,100584.5,120066.1,102136.9,138924.4
Ukraine,UKR,2023,221693.2483,232854.5326,2024,210304.69,222235.94,1990,916472.6752000001,1990,964369.8502,2060,320765.43632,320765.43632,Yes,320765.4363183134,320765.4363183134,Yes,No,327311.6697142868,327311.6697142868,267304.5302666688,267304.5302666688,146041.4245048451,,,,,,,,,,,,,,,133991.6,166417.5,129158.6,193629.3,212871.9,301247.9,219210.8,289691.4
United Arab Emirates,ARE,2022,195184.7327956488,201757.6483568027,2024,250665.15,253316.14,,,,,2050,159373.4761978297,159373.4761978297,Yes,103500,103500,Yes,Yes,,,119530.1071483718,119530.1071483718,120263.3506857546,,,,,,,,,,,,,,,69448.89999999999,125534,72660.60000000001,141154.1,162320.8,174321,171791.1,202944.8
United Kingdom of Great Britain and Northern Ireland,GBR,2023,386608.3611,385573.9259,2024,379521.33,379029.06,1991,821617.3835,1991,811547.573,2050,260168.218848,260168.218848,Yes,155300,155300,Yes,Yes,208885.775466104,208885.775466104,195126.1641359997,195126.1641359997,218559.7959902552,,,,,,,,,,,,,,,117108.3,244647.4,130046,301957.6,311931.7,354094.4,323861.4,399671.6
United Republic of Tanzania,TZA,1994,952799.6397000001,39236.6997,2024,149547.49,104102.01,,,,,,142654.85,153628.3,Yes,,,,,,,,,,,,,,,,,,,,,,,,-19271.1,74352.59999999999,-90955.89999999999,54336.8,53617.5,142439.9,80402.5,214595
Uruguay,URY,2022,28448.00227,37513.64214749532,2024,29145.48,38880.052,,,,,2050,,,,37453,40650.99999999999,Yes,No,,,,,15240.00121607105,,,,,,,,,,,,,,,-12966.3,10763.8,-19858.5,14392.7,20728.9,30490.6,267.3,25005.1
Uzbekistan,UZB,2022,201153.8862,209614.1448607133,2024,222907.82,227392.47,,,,,2050,,,,210000,210000,Yes,No,,,,,128408.4975935111,,,,,,,,,,,,,,,106366.2,146340.4,107519.8,165139.8,176371.3,200413,171728.3,223736.9
Vanuatu,VUT,2023,-13596.24,507.68,2024,-6404.6936,568.99542,,,2000,663.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),VEN,2022,-122213.8595,160309.7553931325,2024,-107359,174061.16,,,2012,255729.1407630142,,,,,,,,,,,,,,,,,,,,,,,,,,,,93589.29999999999,158915.6,83796.59999999999,174030.4,203455.6,203842.7,178033,205994.4
Viet Nam,VNM,2013,244185.81,278441.86,2024,499063.9,536122.53,,,,,2050,524400,781600,Yes,,,,,,,393300.0000000029,586199.9999999971,270953.8151656307,,,,,,,,,,,,,,,-47877.4,205392.3,-148884.3,253378.9,521793.7,553612.8,532222.4,615671.7
Yemen,YEM,2024,25300,,2024,39239.967,40987.2,2012,36700,,,,37670,43350,Yes,,,,,,,,,,,,,,,,,,,,,,,,56943.1,92778.2,56022.7,94607.29999999999,67152.60000000001,85666.39999999999,68416.39999999999,94400.5
Zambia,ZMB,2022,60019.1,220462.1,2024,6813.7651,41574.004,,,,,,122250.2,140250.2,No,,,,,,,,,,,,,,,,,,,,,,,,29064.5,51662.6,-7477.5,26093.9,15111.6,43294.3,23367.7,119706.2
Zimbabwe,ZWE,2022,82917,31493.79246067943,2024,41969.447,29359.689,2022,82917,,,,76232.46000000001,117718.9,Yes,75665.09999999999,125769.11,Yes,,,,,,,,,,,,,,,,,,,,,11224,21463.3,4984.3,22876,24457.8,38252.3,39106.9,110849.5
